Base_ID	Panel	PH	EH
Ames23415	NCRIPS	-50.16364055	-26.69380736
Ames23419	NCRIPS	-15.64404455	-8.927180365
Ames23425	NCRIPS	-51.00838455	-35.79525236
Ames23426	NCRIPS	-14.69644455	-5.841719365
Ames23427	NCRIPS	-36.74341655	-21.24633236
Ames23428	NCRIPS	-20.16345255	-27.65793836
Ames23429	NCRIPS	-5.039572548	-11.18094236
Ames23436	NCRIPS	-18.87296855	-20.96277536
Ames23437	NCRIPS	-26.81946855	-28.29889436
Ames23439	NCRIPS	-25.33182855	-32.29845236
Ames23440	NCRIPS	-34.30348455	-23.62099436
Ames23442	NCRIPS	-29.84737255	-26.19839636
Ames23443	NCRIPS	-26.02422055	-31.54329236
Ames23450	NCRIPS	-55.22860855	-37.47064736
Ames23451	NCRIPS	-40.68221255	-35.70922736
Ames23452	NCRIPS	-50.13622455	-26.74216736
Ames23456	NCRIPS	-15.50503255	-14.02813736
Ames23458	NCRIPS	-28.71586455	-32.98423436
Ames23459	NCRIPS	-37.57721255	-15.49521236
Ames23460	NCRIPS	-30.81346455	-21.39913136
Ames23465	NCRIPS	-12.45762455	-8.662502365
Ames23469	NCRIPS	-19.11575655	-11.17387436
Ames23470	NCRIPS	0.829567452	-14.18586536
Ames23473	NCRIPS	-27.36190055	-18.03811136
Ames23477	NCRIPS	-25.23329655	-13.54118936
Ames23481	NCRIPS	-21.82377655	-17.51414936
Ames23482	NCRIPS	-51.15567655	-32.48696336
Ames23484	NCRIPS	-66.62041655	-47.88962336
Ames23486	NCRIPS	-10.87393655	-21.57471536
Ames23488	NCRIPS	-1.912216548	-12.06983636
Ames23491	NCRIPS	-11.12923655	-18.27730736
Ames23492	NCRIPS	-20.25306055	-30.73586636
Ames23493	NCRIPS	-17.74808455	-13.11906236
Ames23494	NCRIPS	2.604615452	-14.73623936
Ames23495	NCRIPS	-19.81440455	-19.17829136
Ames23496	NCRIPS	-9.634972548	-11.47063736
Ames23498	NCRIPS	-23.44141255	-21.15723836
Ames23499	NCRIPS	-33.74743655	-31.60392836
Ames23501	NCRIPS	-39.44389255	-21.77057336
Ames23502	NCRIPS	-30.17093655	-23.52985436
Ames23503	NCRIPS	18.57875945	8.489301635
Ames23504	NCRIPS	-0.300192548	-11.42804336
Ames23505	NCRIPS	-6.587748548	-8.721464365
Ames23506	NCRIPS	-56.16700855	-46.64677136
Ames23507	NCRIPS	-49.20122855	-39.11349236
Ames23508	NCRIPS	-51.42661655	-43.73308136
Ames23922	NCRIPS	-40.34494055	-30.07854236
Ames24576	NCRIPS	-44.95791255	-19.51485836
Ames24577	NCRIPS	-29.35866855	-7.717715365
Ames24585	NCRIPS	-48.62300855	-39.43164536
Ames24589	NCRIPS	3.008955452	17.17624564
Ames24590	NCRIPS	-15.02249255	-11.79344036
Ames24704	NCRIPS	-31.33906055	-30.21339236
Ames24707	NCRIPS	-45.71737255	-28.08945836
Ames24708	NCRIPS	-51.43673655	-25.94004236
Ames24709	NCRIPS	-7.310592548	-17.80784336
Ames24710	NCRIPS	-29.11670855	-13.31054936
Ames24711	NCRIPS	-13.07531255	-23.15599436
Ames24712	NCRIPS	-36.45416855	-24.95275436
Ames24713	NCRIPS	-9.004864548	-10.40141636
Ames24714	NCRIPS	-30.95256855	-28.78807436
Ames24715	NCRIPS	-27.89908855	-22.61854736
Ames24718	NCRIPS	-23.62329655	-16.13161136
Ames24719	NCRIPS	-13.42482055	-17.39343536
Ames24720	NCRIPS	-3.827564548	-8.383688365
Ames24721	NCRIPS	-27.27477655	-10.39016336
Ames24722	NCRIPS	-28.09192055	-24.64092536
Ames24724	NCRIPS	-42.58504855	-40.82087936
Ames24725	NCRIPS	-30.59984055	-25.04184836
Ames24726	NCRIPS	-1.116324548	-11.89880936
Ames24729	NCRIPS	2.133299452	-5.026574365
Ames24730	NCRIPS	-25.51306855	-23.19291536
Ames24733	NCRIPS	-28.95929655	-30.42413036
Ames24734	NCRIPS	-26.48109255	-14.83547036
Ames24735	NCRIPS	3.740631452	11.37769564
Ames24736	NCRIPS	-29.73623655	-22.43682536
Ames24738	NCRIPS	-23.02676855	-32.23307336
Ames24739	NCRIPS	-16.67656055	-8.606888365
Ames24743	NCRIPS	-27.36033655	-26.31464636
Ames24744	NCRIPS	-12.79370055	-10.99466336
Ames24746	NCRIPS	-25.93295655	-12.06918536
Ames24747	NCRIPS	-18.27174855	-2.971088365
Ames24748	NCRIPS	-7.568744548	-26.76746336
Ames24749	NCRIPS	-5.713288548	-10.90268636
Ames24750	NCRIPS	16.43212345	-4.329818365
Ames24752	NCRIPS	-16.02667255	-27.44022536
Ames24989	NCRIPS	-12.72194055	-13.40847836
Ames25177	NCRIPS	-6.291324548	-11.11472636
Ames25179	NCRIPS	19.19561945	-2.057921365
Ames25182	NCRIPS	7.195047452	7.210086635
Ames25218	NCRIPS	0.945579452	2.072859635
Ames25219	NCRIPS	-10.79012455	-24.68612336
Ames25220	NCRIPS	-7.743544548	-28.69312136
Ames25221	NCRIPS	-8.982876548	-27.97971836
Ames25372	NCRIPS	3.391031452	8.936538635
Ames25373	NCRIPS	11.24829145	5.683305635
Ames25374	NCRIPS	5.155499452	3.908307635
Ames25559	NCRIPS	-33.26130855	-26.42513036
Ames26004	NCRIPS	-34.65529255	-26.47274636
Ames26021	NCRIPS	-3.859028548	-6.537917365
Ames26022	NCRIPS	-18.89118455	-12.43960436
Ames26028	NCRIPS	20.77700745	10.85894164
Ames26114	NCRIPS	1.541923452	-4.912556365
Ames26115	NCRIPS	-8.170976548	-7.925012365
Ames26116	NCRIPS	11.28214745	11.40234064
Ames26117	NCRIPS	9.073135452	6.605772635
Ames26118	NCRIPS	-17.43740055	-15.57956336
Ames26119	NCRIPS	-3.465820548	-7.033886365
Ames26120	NCRIPS	-17.28394455	-9.075143365
Ames26121	NCRIPS	-8.798048548	-4.966682365
Ames26123	NCRIPS	-30.34343655	-16.64748236
Ames26125	NCRIPS	-12.51779255	0.001377635
Ames26126	NCRIPS	5.485043452	10.71460564
Ames26127	NCRIPS	11.65962345	11.81098264
Ames26128	NCRIPS	-12.83252455	-27.42971636
Ames26130	NCRIPS	26.23803545	21.38403064
Ames26132	NCRIPS	6.050199452	3.070563635
Ames26133	NCRIPS	-28.75947255	-17.35623536
Ames26134	NCRIPS	-4.767436548	-8.584382365
Ames26135	NCRIPS	-19.78938055	-17.86392236
Ames26136	NCRIPS	-3.890676548	-2.486930365
Ames26137	NCRIPS	5.432879452	2.800584635
Ames26138	NCRIPS	-17.68534055	-12.558086359999999
Ames26253	NCRIPS	18.15850345	22.62827764
Ames26604	NCRIPS	7.005895452	6.829344635000001
Ames26741	NCRIPS	-29.85105255	-13.77889736
Ames26742	NCRIPS	14.87097545	12.83370364
Ames26743	NCRIPS	-6.926216548	-0.211499365
Ames26744	NCRIPS	-4.315348548	-5.139104365
Ames26745	NCRIPS	-24.07234855	-21.88049936
Ames26746	NCRIPS	-3.749548548	6.166161635
Ames26747	NCRIPS	-15.18643655	3.414756635
Ames26748	NCRIPS	5.728199452	9.257202635
Ames26749	NCRIPS	-2.745460548	8.670093635
Ames26750	NCRIPS	2.470387452	-1.654673365
Ames26751	NCRIPS	-23.24867255	-16.08120536
Ames26752	NCRIPS	5.897387452	4.103979635
Ames26753	NCRIPS	15.02765145	6.464226635
Ames26754	NCRIPS	16.56294745	11.05489264
Ames26755	NCRIPS	-32.03375255	-14.76906836
Ames26756	NCRIPS	-33.04428055	-26.34040736
Ames26757	NCRIPS	-11.51076055	-15.47038136
Ames26758	NCRIPS	-10.64927255	-9.488528365
Ames26760	NCRIPS	-15.15681255	-11.69579036
Ames26761	NCRIPS	-44.08998455	-33.90958436
Ames26762	NCRIPS	-27.22721255	-15.08508236
Ames26763	NCRIPS	3.715331452	7.204041635
Ames26764	NCRIPS	2.511235452	-4.507076365
Ames26765	NCRIPS	-35.82893655	-17.20083236
Ames26766	NCRIPS	-31.82666055	-17.91981536
Ames26767	NCRIPS	-19.17114055	-6.004841365
Ames26768	NCRIPS	-21.76894455	-10.14975836
Ames26769	NCRIPS	-17.05063255	-19.82492036
Ames26771	NCRIPS	3.021927452	-4.644623365
Ames26772	NCRIPS	-18.80672855	-21.07251536
Ames26774	NCRIPS	-10.08154055	-1.266584365
Ames26775	NCRIPS	-20.36447255	-32.74234136
Ames26776	NCRIPS	-13.30218455	-10.96360136
Ames26777	NCRIPS	-9.016640548	-12.98681636
Ames26778	NCRIPS	-41.06833655	-17.04087236
Ames26779	NCRIPS	-22.84571255	-12.02882336
Ames26780	NCRIPS	20.01313145	19.87770964
Ames26781	NCRIPS	24.55397545	19.57480864
Ames26783	NCRIPS	-28.66940455	-32.08111136
Ames26784	NCRIPS	-35.35035255	-16.66896536
Ames26785	NCRIPS	-18.52336855	-8.928575365
Ames26786	NCRIPS	-0.442700548	-0.044378365
Ames26787	NCRIPS	-15.72537255	-6.932237365
Ames26788	NCRIPS	-10.67098455	-0.793214365
Ames26789	NCRIPS	-8.903204548	-5.612660365
Ames26790	NCRIPS	1.499327452	18.17413564
Ames26791	NCRIPS	-10.31255255	2.320704635
Ames26792	NCRIPS	8.251759452	11.57634364
Ames26793	NCRIPS	-6.133360548	-6.990455365
Ames26794	NCRIPS	-32.55668055	-24.20652236
Ames26795	NCRIPS	-32.79597255	-24.82181036
Ames26796	NCRIPS	-10.27474055	-8.315240365
Ames26797	NCRIPS	-13.48158455	-6.391907365
Ames26798	NCRIPS	-35.87898455	-18.99043136
Ames26799	NCRIPS	-23.53184855	-13.19541536
Ames26800	NCRIPS	-10.24870455	-14.86485836
Ames26801	NCRIPS	-27.97986455	-15.38045036
Ames26802	NCRIPS	-29.94360455	-8.740529365
Ames26803	NCRIPS	-39.59035655	-26.10242036
Ames26804	NCRIPS	-22.21910055	-27.49128236
Ames26805	NCRIPS	7.221083452	3.442191635
Ames26806	NCRIPS	-3.661320548	-6.040367365
Ames26808	NCRIPS	-11.32022855	0.002679635
Ames26812	NCRIPS	-78.89211255	-50.78452736
Ames26813	NCRIPS	-83.92883655	-58.10585936
Ames26909	NCRIPS	-6.202912548	-9.510848365
Ames27017	NCRIPS	-5.000288548	-28.05114236
Ames27018	NCRIPS	-15.51920055	-17.67345836
Ames27020	NCRIPS	-16.58097255	-11.09203436
Ames27024	NCRIPS	-68.44965255	-34.46684036
Ames27025	NCRIPS	-68.20622055	-40.74703736
Ames27026	NCRIPS	-54.11724855	-39.89729636
Ames27028	NCRIPS	-46.31684455	-30.97041236
Ames27029	NCRIPS	-51.43333255	-38.71359236
Ames27031	NCRIPS	-28.12375255	-23.61271736
Ames27032	NCRIPS	-17.33095655	-28.68782036
Ames27033	NCRIPS	-33.49416055	-24.30891536
Ames27037	NCRIPS	-42.28071255	-25.41403436
Ames27038	NCRIPS	-42.09349255	-35.74438136
Ames27041	NCRIPS	-13.06344455	-17.28834536
Ames27042	NCRIPS	-24.37953655	-12.89586236
Ames27043	NCRIPS	-32.11673655	-23.05453136
Ames27045	NCRIPS	-27.04275255	-30.94679036
Ames27046	NCRIPS	-9.336432548	-17.65262636
Ames27047	NCRIPS	-36.51065655	-19.05804236
Ames27049	NCRIPS	-35.51310055	-29.18834636
Ames27050	NCRIPS	-18.20716455	-22.11783536
Ames27052	NCRIPS	-40.71974855	-32.08259936
Ames27056	NCRIPS	-39.99018855	-22.04845736
Ames27057	NCRIPS	-46.28924455	-32.85691736
Ames27062	NCRIPS	15.79428745	26.66261764
Ames27064	NCRIPS	-29.78140855	-19.11691136
Ames27065	NCRIPS	11.71307545	5.703579635
Ames27066	NCRIPS	-15.57072055	-12.28959536
Ames27067	NCRIPS	-37.04296855	-30.76125536
Ames27068	NCRIPS	-28.03074055	-28.99676636
Ames27072	NCRIPS	10.58874345	16.50432064
Ames27074	NCRIPS	-7.980352548	12.46672564
Ames27076	NCRIPS	5.223947452	18.10066564
Ames27078	NCRIPS	7.955059452	22.64650564
Ames27079	NCRIPS	-5.444372548	-3.313886365
Ames27081	NCRIPS	-8.647536548	14.03275264
Ames27082	NCRIPS	2.696523452	-10.73268236
Ames27084	NCRIPS	14.13157145	29.08117564
Ames27087	NCRIPS	-45.36078055	-28.28122436
Ames27088	NCRIPS	5.743011452	3.219177635
Ames27089	NCRIPS	-19.85911655	-7.576076365
Ames27094	NCRIPS	19.45956745	3.338124635
Ames27095	NCRIPS	34.32225945	15.73335064
