model,source_panel,target_panel,distance,abs_error
Ridge,USP,NCRIPS,98.38775936918034,48.49280728487165
Ridge,USP,NCRIPS,81.7529154483695,16.146937619837118
Ridge,USP,NCRIPS,104.26812844077656,40.036469559423786
Ridge,USP,NCRIPS,108.61738278591305,23.125098846867637
Ridge,USP,NCRIPS,86.68947659452644,4.749634127246083
Ridge,USP,NCRIPS,92.92789894925191,20.637550189122123
Ridge,USP,NCRIPS,87.11663571729946,27.118775954429047
Ridge,USP,NCRIPS,95.34621495128985,27.94869928220424
Ridge,USP,NCRIPS,91.70182758150875,32.42977026801957
Ridge,USP,NCRIPS,91.86903713191498,29.22620282117014
Ridge,USP,NCRIPS,94.67461307253755,25.264518573581057
Ridge,USP,NCRIPS,93.52042326215351,61.08396488134669
Ridge,USP,NCRIPS,87.89532369224267,40.80788813757311
Ridge,USP,NCRIPS,87.37029375326235,52.91691717623776
Ridge,USP,NCRIPS,107.52391603555873,19.022213145039053
Ridge,USP,NCRIPS,170.3498851214223,33.51393448599561
Ridge,USP,NCRIPS,72.07004187652257,40.576721728004024
Ridge,USP,NCRIPS,93.16906087791018,32.46578887801832
Ridge,USP,NCRIPS,157.9055156244182,15.37557681095194
Ridge,USP,NCRIPS,172.23917871269956,18.999527883644337
Ridge,USP,NCRIPS,176.81328333726995,1.564551735099772
Ridge,USP,NCRIPS,164.39570762192352,27.768849064965192
Ridge,USP,NCRIPS,106.58985307221754,26.799014176324047
Ridge,USP,NCRIPS,102.5485191488584,26.48751998964269
Ridge,USP,NCRIPS,95.26396535093646,54.83884672822429
Ridge,USP,NCRIPS,100.92797398583124,67.59238693903039
Ridge,USP,NCRIPS,109.162749650736,10.480768640849885
Ridge,USP,NCRIPS,122.00595084542341,4.487620426354761
Ridge,USP,NCRIPS,89.05807479871463,8.265649564139338
Ridge,USP,NCRIPS,108.71284041073804,25.0289194726003
Ridge,USP,NCRIPS,136.84815637827774,19.747946951041552
Ridge,USP,NCRIPS,144.42825394668085,3.9700685025269298
Ridge,USP,NCRIPS,92.98325332756028,23.383418625739147
Ridge,USP,NCRIPS,154.74761681612534,13.303311991504312
Ridge,USP,NCRIPS,80.54141062620636,22.76160542769472
Ridge,USP,NCRIPS,114.86695179787621,31.72497134656232
Ridge,USP,NCRIPS,99.9506923095487,40.671818814677394
Ridge,USP,NCRIPS,91.02169499781809,32.73633957574629
Ridge,USP,NCRIPS,189.70913394059409,16.417950163386642
Ridge,USP,NCRIPS,165.8901926035454,2.9394009752230845
Ridge,USP,NCRIPS,136.95200069820842,9.536494305426608
Ridge,USP,NCRIPS,128.19193770612156,61.390489535977245
Ridge,USP,NCRIPS,139.077242264197,44.911340196302646
Ridge,USP,NCRIPS,124.40643382786469,49.943601389455274
Ridge,USP,NCRIPS,86.8570052290126,41.90479681912278
Ridge,USP,NCRIPS,157.2207460497792,42.122645291634214
Ridge,USP,NCRIPS,158.0389954476961,27.078866464511457
Ridge,USP,NCRIPS,82.26159108267622,51.01800869941371
Ridge,USP,NCRIPS,92.30833574295472,1.1522772821983198
Ridge,USP,NCRIPS,83.46459382987726,16.115536276229328
Ridge,USP,NCRIPS,101.07446756665844,35.379908056747155
Ridge,USP,NCRIPS,77.24049765070944,51.38887195004512
Ridge,USP,NCRIPS,77.82686318272538,54.58857101510634
Ridge,USP,NCRIPS,108.13824650678926,9.634507815816725
Ridge,USP,NCRIPS,152.69232231607708,25.37557989974456
Ridge,USP,NCRIPS,103.21462011956521,23.9308758687121
Ridge,USP,NCRIPS,101.55241372344436,39.433971089017675
Ridge,USP,NCRIPS,81.30522458394418,13.844813931357091
Ridge,USP,NCRIPS,87.02506912347569,34.52916285081848
Ridge,USP,NCRIPS,99.97638847759401,24.90309029553071
Ridge,USP,NCRIPS,178.40422083548012,26.964628997131435
Ridge,USP,NCRIPS,167.62057830364316,17.324439757115737
Ridge,USP,NCRIPS,92.66521117128875,4.319150007921194
Ridge,USP,NCRIPS,95.20520302846158,26.38699204711974
Ridge,USP,NCRIPS,117.1276588460171,31.51258987053511
Ridge,USP,NCRIPS,99.913735772296,45.30641101649664
Ridge,USP,NCRIPS,84.49511195841019,29.013602313245148
Ridge,USP,NCRIPS,100.82450593818334,0.3239334199729025
Ridge,USP,NCRIPS,80.10844883236442,1.134847627186411
Ridge,USP,NCRIPS,97.24872897667315,26.167125892026547
Ridge,USP,NCRIPS,84.05469515028439,30.799860337677018
Ridge,USP,NCRIPS,81.14392751463905,29.614780276474185
Ridge,USP,NCRIPS,140.28213121677507,1.6591991050821506
Ridge,USP,NCRIPS,95.3867231126588,35.90306784026021
Ridge,USP,NCRIPS,121.11674631810828,26.510945650326583
Ridge,USP,NCRIPS,101.13149419617206,19.640741218313515
Ridge,USP,NCRIPS,95.16252657201491,33.62692732859308
Ridge,USP,NCRIPS,88.2604624082832,13.044950888260649
Ridge,USP,NCRIPS,130.04317147461165,28.56591162222161
Ridge,USP,NCRIPS,125.50379036459842,20.491180534067812
Ridge,USP,NCRIPS,85.83891335264218,14.132724370056536
Ridge,USP,NCRIPS,113.03892599733994,11.197612403114533
Ridge,USP,NCRIPS,100.97845342603817,11.035038719245122
Ridge,USP,NCRIPS,84.67880146862687,18.916869296222874
Ridge,USP,NCRIPS,125.95237681108523,16.98497398901942
Ridge,USP,NCRIPS,95.5134564852171,7.048313138748349
Ridge,USP,NCRIPS,73.29280833142684,14.859610553687808
Ridge,USP,NCRIPS,75.14135103941217,4.355092412615778
Ridge,USP,NCRIPS,72.89365126599984,0.5689900764374258
Ridge,USP,NCRIPS,174.6550886730733,14.570931850141353
Ridge,USP,NCRIPS,175.7889041870316,12.001953362303865
Ridge,USP,NCRIPS,175.30561079264055,13.271721358938082
Ridge,USP,NCRIPS,138.14599109398722,1.3475456464901585
Ridge,USP,NCRIPS,137.84773449847674,8.966136376202584
Ridge,USP,NCRIPS,136.6368067352248,0.5061939940680276
Ridge,USP,NCRIPS,67.69798981704457,36.20152128947288
Ridge,USP,NCRIPS,78.58577926783677,34.820616042855995
Ridge,USP,NCRIPS,85.99580679790365,8.61044136931463
Ridge,USP,NCRIPS,88.50603706993465,23.65026036466354
Ridge,USP,NCRIPS,101.11540731306827,22.475696478436824
Ridge,USP,NCRIPS,81.7087561307809,0.9075514145226202
Ridge,USP,NCRIPS,91.55914909767533,11.662958770333027
